Objects ID,Player ID,InitialWidth,InitialHeight,InitialDepth,Eye Level,Pedestal Height,Center Height (Pedestal Height+1/2Height),Distance to Surface (Distance-1/2depth),Scaled Height
A8,13,17.6,18.7,17.6,136,93,102.35,127.2,62
A8,14,17.6,18.7,17.6,151,112,121.35,89.2,28
A8,15,17.6,18.7,17.6,140,117,126.35,89.2,24
A8,16,17.6,18.7,17.6,137,121,130.35,92.2,34
A8,17,17.6,18.7,17.6,137,114,123.35,202.2,28
A8,18,17.6,18.7,17.6,151,128,137.35,77.2,38
A8,19,17.6,18.7,17.6,104,91,100.35,35.2,24
A8,20,17.6,18.7,17.6,103,89,98.35,28.2,32
A16,1,51,63,42,116,88,119.5,57,40
A16,2,51,63,42,127,78,109.5,81,53
A16,3,51,63,42,146,88,119.5,125,33
A16,4,51,63,42,146,88,119.5,92,33
A16,5,51,63,42,142,60,91.5,287,39
A16,6,51,63,42,138,64,95.5,53,37
A16,7,51,63,42,133,60,91.5,72,36
A16,8,51,63,42,141,93,124.5,56,44
A16,9,51,63,42,135,58,89.5,31,31
A16,10,51,63,42,146,102,133.5,63,21
A16,11,51,63,42,145,114,145.5,63,28
A16,12,51,63,42,133,60,91.5,72,65
A16,13,51,63,42,133,77,108.5,129,45
A16,14,51,63,42,140,108,139.5,30,30
A16,15,51,63,42,139,89,120.5,106,50
A16,16,51,63,42,136,91,122.5,118,44
A16,17,51,63,42,137,104,135.5,245,49
A16,18,51,63,42,145,108,139.5,46,44
A16,19,51,63,42,102,63,94.5,120,19
A16,20,51,63,42,109,78,109.5,63,52
